ID_encuesta,Relacion_MarNCP,Ocu_agrupado,Encuestador,Sitio,Residencia_costa,Distancia_residenciaKm,Edad,Genero,Ingresos,Integrantes_familia,Nota_conocimiento,Participacion_avistamiento,AmbOrigen,Ambiente_bienestar,Ambiente,Agrado,Desagrado,Frec_visita,Frec_infancia,Ingreso_percap,AgradoCH,DesagradoCH
DC07071981,NO MATERIAL- Exp. fís. y psic.,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,Verde,2,5,1,1,962500,Comportamiento,Nada le desagrada
DC07071981,NO MATERIAL- Exp. fís. y psic.,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,7,Urbano,2,5,0.04,0,962500,Comportamiento,Nada le desagrada
DC07071981,NO MATERIAL- Exp. fís. y psic.,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaNat,2,5,0.04,0,962500,Comportamiento,Nada le desagrada
DC07071981,NO MATERIAL- Exp. fís. y psic.,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaInt,2,5,1,1,962500,Comportamiento,Nada le desagrada
DC07071981,NO MATERIAL- Exp. fís. y psic.,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaNat,2,5,1,1,962500,Comportamiento,Nada le desagrada
DC07071981,NO MATERIAL- Exp. fís. y psic.,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaInt,2,5,0.25,0,962500,Comportamiento,Nada le desagrada
NA21094,NO MATERIAL- Exp. fís. y psic.,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,7,Verde,6,2,0.25,-1,200000,NA,Comportamiento
NA21094,NO MATERIAL- Exp. fís. y psic.,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,3,Urbano,2,2,1,0,200000,Comportamiento,Comportamiento
NA21094,NO MATERIAL- Exp. fís. y psic.,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaNat,2,5,0.04,1,200000,Comportamiento,Nada le desagrada
NA21094,NO MATERIAL- Exp. fís. y psic.,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaInt,2,5,1,1,200000,Comportamiento,Nada le desagrada
NA21094,NO MATERIAL- Exp. fís. y psic.,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaNat,2,2,1,1,200000,Comportamiento,Comportamiento
NA21094,NO MATERIAL- Exp. fís. y psic.,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaInt,2,5,0.25,-1,200000,Comportamiento,Nada le desagrada
AU1509,NO MATERIAL- Exp. fís. y psic.,Estudiante,GIORGIA,PLAYA AMARILLA,NA,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Verde,5,2,0.25,0,NA,Nada le agrada,Comportamiento
AU1509,NO MATERIAL- Exp. fís. y psic.,Estudiante,GIORGIA,PLAYA AMARILLA,NA,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Urbano,5,2,0.25,0,NA,Nada le agrada,Comportamiento
AU1509,NO MATERIAL- Exp. fís. y psic.,Estudiante,GIORGIA,PLAYA AMARILLA,NA,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,3,PlayaNat,1,2,0.04,0,NA,Estética,Comportamiento
