ID_encuesta,Relacion_MarNCP,Ocu_agrupado,Encuestador,Sitio,Residencia_costa,Distancia_residenciaKm,Edad,Genero,Ingresos,Integrantes_familia,Nota_conocimiento,Participacion_avistamiento,AmbOrigen,Ambiente_bienestar,Ambiente,Agrado,Desagrado,Frec_visita,Frec_infancia,Conoce_especie,Especie,Nombre_especie,Beneficio_sp_amb,FrecPercibida,Origen,Ingreso_percap,AgradoCH,DesagradoCH,Conoce_nombre,Conoce_origen
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,Verde,2,5,1,1,1,Larus,GAVIOTA DOMINICANA,2,1,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,Verde,2,5,1,1,1,Columba,PALOMA,3.5,7,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,Verde,2,5,1,1,1,Pele,PELICANO,6,0,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,Verde,2,5,1,1,1,Phalacrocorax,CORMORAN,7,0,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,Verde,2,5,1,1,1,Turdus,ZORZAL,6,7,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,Verde,2,5,1,1,1,Zonotrichia,CHINCOL,5,7,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,7,Urbano,2,5,0.04,0,1,Larus,GAVIOTA DOMINICANA,2,1,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,7,Urbano,2,5,0.04,0,1,Columba,PALOMA,3.5,7,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,7,Urbano,2,5,0.04,0,1,Pele,PELICANO,6,0,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,7,Urbano,2,5,0.04,0,1,Phalacrocorax,CORMORAN,7,0,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,7,Urbano,2,5,0.04,0,1,Turdus,ZORZAL,6,1,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
