"","ID_encuesta","Nombre_encuestador","Fecha_encuesta","Sitio","Residencia_costa","Distancia_residencia","Edad","Genero","Integrantes_familia","Ocupacion","Ingresos","Relacion_mar","Ave_favorita","Nota_conocimiento","Participacion_avistamiento","Lugar_conocimiento","Conoce_Larus","Nombre_Larus","FrecPercib_Larus_Verde","Benef_Larus_Verde","FrecPercib_Larus_Urbano","Benef_Larus_Urbano","FrecPercib_Larus_PlayaNat","Benef_Larus_PlayaNat","FrecPercib_Larus_PlayaInt","Benef_Larus_PlayaInt","FrecPercib_Larus_RocaNat","Benef_Larus_RocaNat","FrecPercib_Larus_RocaInt","Benef_Larus_RocaInt","Conoce_Columba","Nombre_Columba","FrecPercib_Columba_Verde","Benef_Columba_Verde","FrecPercib_Columba_Urbano","Benef_Columba_Urbano","FrecPercib_Columba_PlayaNat","Benef_Columba_PlayaNat","FrecPercib_Columba_PlayaInt","Benef_Columba_PlayaInt","FrecPercib_Columba_RocaNat","Benef_Columba_RocaNat","FrecPercib_Columba_RocaInt","Benef_Columba_RocaInt","Conoce_Pele","Nombre_Pele","FrecPercib_Pele_Verde","Benef_Pele_Verde","FrecPercib_Pele_Urbano","Benef_Pele_Urbano","FrecPercib_Pele_PlayaNat","Benef_Pele_PlayaNat","FrecPercib_Pele_PlayaInt","Benef_Pele_PlayaInt","FrecPercib_Pele_RocaNat","Benef_Pele_RocaNat","FrecPercib_Pele_RocaInt","Benef_Pele_RocaInt","Conoce_Phalacrocorax","Nombre_Phalacrocorax","FrecPercib_Phalacrocorax_Verde","Benef_Phalacrocorax_Verde","FrecPercib_Phalacrocorax_Urbano","Benef_Phalacrocorax_Urbano","FrecPercib_Phalacrocorax_PlayaNat","Benef_Phalacrocorax_PlayaNat","FrecPercib_Phalacrocorax_PlayaInt","Benef_Phalacrocorax_PlayaInt","FrecPercib_Phalacrocorax_RocaNat","Benef_Phalacrocorax_RocaNat","FrecPercib_Phalacrocorax_RocaInt","Benef_Phalacrocorax_RocaInt","Conoce_Turdus","Nombre_Turdus","FrecPercib_Turdus_Verde","Benef_Turdus_Verde","FrecPercib_Turdus_Urbano","Benef_Turdus_Urbano","FrecPercib_Turdus_PlayaNat","Benef_Turdus_PlayaNat","FrecPercib_Turdus_PlayaInt","Benef_Turdus_PlayaInt","FrecPercib_Turdus_RocaNat","Benef_Turdus_RocaNat","FrecPercib_Turdus_RocaInt","Benef_Turdus_RocaInt","Conoce_Zonotrichia","Nombre_Zonotrichia","FrecPercib_Zonotrichia_Verde","Benef_Zonotrichia_Verde","FrecPercib_Zonotrichia_Urbano","Benef_Zonotrichia_Urbano","FrecPercib_Zonotrichia_PlayaNat","Benef_Zonotrichia_PlayaNat","FrecPercib_Zonotrichia_PlayaInt","Benef_Zonotrichia_PlayaInt","FrecPercib_Zonotrichia_RocaNat","Benef_Zonotrichia_RocaNat","FrecPercib_Zonotrichia_RocaInt","Benef_Zonotrichia_RocaInt","Origen_Columba","Origen_Pele","Origen_Phalacrocorax","Origen_Larus","Origen_Tordus","Origen_Zonotrichia","Bienestar_aves_Verdes","Agrado_aves_Verde","Agrado_aves_Verde_otro","Desagrado_aves_Verde","Desagrado_aves_Verde_otro","Frec_visita_Verde","Frec_infancia_Verde","Bienestar_aves_Urbano","Agrado_aves_Urbano","Agrado_aves_Urbano_otro","Desagrado_aves_Urbano","Desagrado_aves_Urbano_otro","Frec_visita_Urbano","Frec_infancia_Urbano","Bienestar_aves_PlayaNat","Agrado_aves_PlayaNat","Agrado_aves_PlayaNat_otro","Desagrado_aves_PlayaNat","Desagrado_aves_PlayaNat_otro","Frec_visita_PlayaNat","Frec_infancia_PlayaNat","Bienestar_aves_PlayaInt","Agrado_aves_PlayaInt","Agrado_aves_PlayaInt_otro","Desagrado_aves_PlayaInt","Desagrado_aves_PlayaInt_otro","Frec_visita_PlayaInt","Frec_infancia_PlayaInt","Bienestar_aves_RocaNat","Agrado_aves_RocaNat","Agrado_aves_RocaNat_otro","Desagrado_aves_RocaNat","Desagrado_aves_RocaNat_otro","Frec_visita_RocaNat","Frec_infancia_RocaNat","Bienestar_aves_RocaInt","Agrado_aves_RocaInt","Agrado_aves_RocaInt_otro","Desagrado_aves_RocaInt","Desagrado_aves_RocaInt_otro","Frec_visita_RocaInt","Frec_infancia_RocaInt","submit_time"
"1","MG1110","GIORGIA",2020-03-12,"GABMISTRAL","1","GAB MISTRAL","54","2","1","ADMINISTRADOR","2","DISFRUTA AIRE MARINO","NO","2","1","","1","GAVIOTA","","","","","7","7","5","5","","","","","1","PALOMA","","","7","6","","","","","","","3","5","1","PELICANO","1","1","","","7","7","","","","","","","2","NO","","","","","","","","","6","7","3","6","2","NO","","","1","2","","","","","6","6","","","2","NO","","","","","4","7","","","3","7","","","1","2","1","2","2","1","6","3","","5","","2","1","5","2","","5","","1","1","5","2","","5","","3","3","4","5","","3","","2","1","7","3","","5","","1","1","6","2","","3","","3","2","Tue Mar 10 21:58:58 2020"
"2","","",2020-03-12,"","1","","","2","","","2","","","","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","2","1","2","2","1","","3","","5","","2","1","","2","","5","","1","1","","2","","5","","3","3","","5","","3","","2","1","","3","","5","","1","1","","2","","3","","3","2","Tue Mar 10 21:59:01 2020"
"3","","",2020-03-12,"","1","","","2","","","2","","","","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","2","1","2","2","1","","3","","5","","2","1","","2","","5","","1","1","","2","","5","","3","3","","5","","3","","2","1","","3","","5","","1","1","","2","","3","","3","2","Tue Mar 10 21:59:02 2020"
"4","","",2020-03-12,"","1","","","2","","","2","","","","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","2","1","2","2","1","","3","","5","","2","1","","2","","5","","1","1","","2","","5","","3","3","","5","","3","","2","1","","3","","5","","1","1","","2","","3","","3","2","Tue Mar 10 21:59:04 2020"
"5","JV1871","GIORGIA",2020-03-13,"SALINAS","1","QUILPUE","54","1","3","CAMARERA","3","BANARSE","NO","4","1","","1","GAVIOTA","0","7","0","7","","","","","","","","","1","PAOMA","7","7","","","","","","","","","5","1","1","PELICANO","0","7","","","","","7","7","","","","","2","NO","4","1","","","4","4","","","","","","","1","NO","4","7","","","","","","","","","4","7","1","NO","","","0","7","","","","","","","2","7","1","2","1","2","2","1","7","2","","5","","2","1","7","3","","5","","1","3","7","1","","1","","4","1","7","1","","5","","1","1","7","2","","5","","2","1","7","2","","5","","4","1","Wed Mar 11 01:46:22 2020"
"6","cv30011992","GIORGIA",2020-03-13,"SALINAS","1","25 MIN MICRO","28","1","6","RECEPCIONISTA","3","CAMINAR","TORTOLAS","2","1","","1","GAVIOTA","","","5","4","","","","","","","7","7","1","PALOMA","","7","","","","","","","4","4","5","6","1","PELICANO","","","","","","","6","7","7","7","","","2","NO","5","6","","","","","3","3","","","","","1","ZORZAL","","","","","2","2","2","3","","","","","1","NO","","","","","2","2","","","","","3","3","1","2","1","2","1","1","7","2","","5","","2","3","5","4","","5","","1","3","6","2","","5","","4","2","5","4","","2","","1","3","7","3","","5","","2","3","5","2","","5","","3","2","Wed Mar 11 02:05:12 2020"
"7","cv30011992","GIORGIA",2020-03-13,"SALINAS","1","25 MIN MICRO","28","1","6","RECEPCIONISTA","3","CAMINAR","TORTOLAS","2","1","","1","GAVIOTA","","","5","4","","","","","","","7","7","1","PALOMA","","7","","","","","","","4","4","5","6","1","PELICANO","","","","","","","6","7","7","7","","","2","NO","5","6","","","","","3","3","","","","","1","ZORZAL","","","","","2","2","2","3","","","","","1","NO","","","","","2","2","","","","","3","3","1","2","1","2","1","1","7","2","","5","","2","3","5","4","","5","","1","3","6","2","","5","","4","2","5","4","","2","","1","3","7","3","","5","","2","3","5","2","","5","","3","2","Wed Mar 11 02:05:14 2020"
"8","EA1962","GILRGIA",2020-03-13,"SALINAS","1","QILPUE","57","1","3","CAMARERA","2","TRABAJO","NO","2","1","","1","GAVIOTA","","","","","7","7","","","","","7","7","1","PALOMA","7","7","","","","","","","3","5","","","1","PELICANO","","","","","","","5","5","","","7","7","1","PATO","","","0","2","","","","","7","7","","","1","JILGERO","7","7","","","1","1","","","","","","","1","CHINCOL","7","7","","","1","2","","","","","","","1","2","2","2","1","1","7","2","","5","","1","3","1","5","","5","","1","3","7","4","","5","","1","1","5","5","","3","","4","3","7","3","","5","","1","3","7","2","","5","","4","1","Wed Mar 11 02:23:14 2020"
"9","SA21051966","",2020-03-13,"","1","GOMEZ CARRENO","53","1","2","CAMARERA","1","CAMINANDO ORILLA","GAVIOTA","4","1","","1","GAVIOTA","","","7","7","5","7","","","","","","","1","PALOMA","","","","","1","3","","","4","4","","","1","PELICANO","0","7","0","6","","","","","","","","","2","NO","","","4","6","2","5","","","","","","","1","NO","","","","","","","","","4","6","3","7","1","NO","5","6","","","","","","","4","5","","","1","2","2","2","1","1","7","2","","5","","1","3","7","3","","5","","1","3","","4","","5","","1","1","7","3","","5","","1","1","7","4","","5","","2","1","7","4","","5","","4","3","Wed Mar 11 02:46:03 2020"
"10","","dp201099",2020-03-13,"SALINAS","1","30 MIN MICRO","20","1","8","RECEPCIONISTA","3","CAMINAR","AGUILA","4","3","TALLER","1","GAVIOTA","","","2","7","","","","","7","","","","1","PALOMA","","","7","7","","","7","","","","","","1","PELICANO","5","7","","","","","","","","","7","7","1","NO","7","7","","","5","7","","","","","","","1","ZORZAL","7","","","","","","0","7","","","","","1","NO","7","7","","","","","","","5","7","","","1","1","2","1","1","1","7","2","","5","","1","1","7","2","","5","","1","1","7","3","","5","","1","1","7","4","","5","","1","1","7","3","","5","","1","1","7","3","","5","","1","1","Wed Mar 11 03:13:11 2020"
